zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5288, -30), P2(5279, 661), HeightProb:80, HeightStatus:1, Dist:1526, PosDeDis1:1563, l_TrainResult:0, probability:2108
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5278, -49), P2(5267, 661), HeightProb:80, HeightStatus:1, Dist:1515, PosDeDis1:1577, l_TrainResult:0, probability:1394
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5278, -49), P2(5267, 661), HeightProb:80, HeightStatus:1, Dist:1504, PosDeDis1:1684, l_TrainResult:0, probability:3015
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5266, -49), P2(5255, 661), HeightProb:80, HeightStatus:1, Dist:1504, PosDeDis1:1538, l_TrainResult:0, probability:1824
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5266, -49), P2(5255, 661), HeightProb:80, HeightStatus:1, Dist:1504, PosDeDis1:1538, l_TrainResult:0, probability:2010
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5253, -49), P2(5243, 661), HeightProb:80, HeightStatus:1, Dist:1492, PosDeDis1:1554, l_TrainResult:0, probability:1394
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5255, -65), P2(5243, 661), HeightProb:80, HeightStatus:1, Dist:1492, PosDeDis1:1554, l_TrainResult:0, probability:1915
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5232, 728), P2(5243, -65), HeightProb:80, HeightStatus:1, Dist:1480, PosDeDis1:1655, l_TrainResult:0, probability:2535
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5222, 728), P2(5233, -65), HeightProb:80, HeightStatus:1, Dist:1468, PosDeDis1:1516, l_TrainResult:0, probability:2244
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5222, 728), P2(5234, -65), HeightProb:80, HeightStatus:1, Dist:1468, PosDeDis1:1516, l_TrainResult:0, probability:2932
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5238, -66), P2(5222, 728), HeightProb:80, HeightStatus:1, Dist:1459, PosDeDis1:1535, l_TrainResult:0, probability:2142
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5240, -88), P2(5222, 728), HeightProb:80, HeightStatus:1, Dist:1459, PosDeDis1:1535, l_TrainResult:0, probability:2210
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5228, -88), P2(5210, 728), HeightProb:80, HeightStatus:1, Dist:1463, PosDeDis1:1636, l_TrainResult:0, probability:2351
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5216, -88), P2(5198, 728), HeightProb:80, HeightStatus:1, Dist:1439, PosDeDis1:1484, l_TrainResult:0, probability:1708
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5216, -88), P2(5198, 728), HeightProb:80, HeightStatus:1, Dist:1439, PosDeDis1:1484, l_TrainResult:0, probability:2423
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5204, -88), P2(5186, 728), HeightProb:80, HeightStatus:1, Dist:1439, PosDeDis1:1506, l_TrainResult:0, probability:2210
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5204, -106), P2(5186, 728), HeightProb:80, HeightStatus:1, Dist:1439, PosDeDis1:1506, l_TrainResult:0, probability:1947
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5192, -106), P2(5174, 728), HeightProb:80, HeightStatus:1, Dist:1415, PosDeDis1:1602, l_TrainResult:0, probability:2497
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5171, -106), P2(5153, 728), HeightProb:80, HeightStatus:1, Dist:1415, PosDeDis1:1448, l_TrainResult:0, probability:2650
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5171, -106), P2(5153, 728), HeightProb:80, HeightStatus:1, Dist:1415, PosDeDis1:1448, l_TrainResult:0, probability:4110
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5171, -106), P2(5153, 728), HeightProb:80, HeightStatus:1, Dist:1394, PosDeDis1:1467, l_TrainResult:0, probability:2142
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5172, -129), P2(5153, 728), HeightProb:80, HeightStatus:1, Dist:1394, PosDeDis1:1467, l_TrainResult:0, probability:2010
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5148, -129), P2(5129, 728), HeightProb:80, HeightStatus:1, Dist:1382, PosDeDis1:1555, l_TrainResult:0, probability:2650
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5148, -129), P2(5129, 728), HeightProb:80, HeightStatus:1, Dist:1370, PosDeDis1:1413, l_TrainResult:0, probability:1824
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5148, -129), P2(5129, 728), HeightProb:80, HeightStatus:1, Dist:1370, PosDeDis1:1413, l_TrainResult:0, probability:2891
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5124, -129), P2(5105, 728), HeightProb:80, HeightStatus:1, Dist:1346, PosDeDis1:1415, l_TrainResult:0, probability:2010
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5112, -129), P2(5093, 728), HeightProb:80, HeightStatus:1, Dist:1346, PosDeDis1:1519, l_TrainResult:0, probability:2423
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5100, -129), P2(5081, 728), HeightProb:80, HeightStatus:1, Dist:1322, PosDeDis1:1374, l_TrainResult:0, probability:2387
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5100, -129), P2(5081, 728), HeightProb:80, HeightStatus:1, Dist:1322, PosDeDis1:1374, l_TrainResult:0, probability:2611
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5077, -137), P2(5057, 728), HeightProb:80, HeightStatus:1, Dist:1310, PosDeDis1:1361, l_TrainResult:0, probability:1915
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5053, -137), P2(5035, 728), HeightProb:80, HeightStatus:1, Dist:1298, PosDeDis1:1473, l_TrainResult:0, probability:2010
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5053, -137), P2(5035, 728), HeightProb:80, HeightStatus:1, Dist:1275, PosDeDis1:1323, l_TrainResult:0, probability:1978
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5053, -137), P2(5035, 728), HeightProb:80, HeightStatus:1, Dist:1275, PosDeDis1:1323, l_TrainResult:0, probability:2689
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5018, -137), P2(5001, 728), HeightProb:80, HeightStatus:1, Dist:1252, PosDeDis1:1437, l_TrainResult:0, probability:3058
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5006, -137), P2(4989, 728), HeightProb:80, HeightStatus:1, Dist:1229, PosDeDis1:1276, l_TrainResult:0, probability:2650
zhao_od_ID:5, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(4984, -137), P2(4965, 728), HeightProb:80, HeightStatus:1, Dist:1217, PosDeDis1:1291, l_TrainResult:0, probability:1736
