Train_OD_Project,ObjName,HeightLabel,Direction,Obj_ID,CurCyc,PosDeDis1,PosDeAmp1,PosDeDis2,PosDeAmp2,PosCeDis1,PosCeAmp1,PosCeDis2,PosCeAmp2,TrainObjDist,AvgDeEchoHigh_SameTx,AvgCeEchoHigh_SameTxRx,OdoDiffObjDis,OdoDiffDeDis,OdoDiff,ObjDiff,CosAngle,RateOfVhoDeDiff,AngleDist,TxSensID
Train_OD_HY11,路沿13cm2mid,0,front,2,7,1581,649,0,0,5100,0,0,0,1321,1049,1049,44,44,345,301,4520,0,1528,5
Train_OD_HY11,路沿13cm2mid,0,front,2,8,1605,643,0,0,5100,0,0,0,1345,1049,1049,44,36,381,337,5806,10245,1325,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1542,824,0,0,5100,0,0,0,1447,895,895,115,107,476,361,9267,10000,580,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1763,417,0,0,5100,0,0,0,1516,1014,1014,89,88,488,399,5831,11329,1468,2
Train_OD_HY11,路沿13cm2mid,0,front,3,3,1657,1815,0,0,5100,0,0,0,1545,1676,1676,235,179,464,229,9258,10920,620,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1708,597,0,0,5100,0,0,0,1612,633,633,118,117,560,442,9386,10783,584,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1932,511,0,0,5100,0,0,0,1678,875,875,113,101,643,530,5963,10532,1579,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1823,971,0,0,5100,0,0,0,1721,602,602,86,86,572,486,9571,10448,518,3
Train_OD_HY11,路沿13cm2mid,0,front,1,3,1891,878,0,0,5100,0,0,0,1860,675,675,76,76,154,78,9823,8452,355,3
Train_OD_HY11,路沿13cm2mid,0,front,1,4,1872,410,0,0,5100,0,0,0,1834,743,675,28,28,178,150,9321,8031,701,4
Train_OD_HY11,路沿13cm2mid,0,front,1,5,1822,1352,0,0,5100,0,0,0,1786,492,492,50,48,226,176,9822,10434,341,3
Train_OD_HY11,路沿13cm2mid,0,front,1,6,1831,519,0,0,5100,0,0,0,1764,895,901,26,26,250,224,9296,17560,688,4
Train_OD_HY11,路沿13cm2mid,0,front,1,7,1754,2042,0,0,5100,0,0,0,1706,501,501,63,61,309,246,9832,12205,317,3
Train_OD_HY11,路沿13cm2mid,0,front,1,8,1754,2042,0,0,5100,0,0,0,1706,1124,1460,5,5,309,304,9832,0,317,3
